Date,Site,toss,date.clean,site.clean,sampling.bout,Year,Month,jd,jd.year,jd.adjusted
7/12/2018,GCH5,N,7/12/2018,GCH5,GCH5.7.12.2018,2018,7,193,18193,0
7/12/2018,HL3,N,7/12/2018,HL3,HL3.7.12.2018,2018,7,193,18193,0
7/12/2018,HL4,N,7/12/2018,HL4,HL4.7.12.2018,2018,7,193,18193,0
8/8/2018,GCH5,N,8/8/2018,GCH5,GCH5.8.8.2018,2018,8,220,18220,27
8/8/2018,GCH6,N,8/8/2018,GCH6,GCH6.8.8.2018,2018,8,220,18220,27
8/8/2018,GCH7,N,8/8/2018,GCH7,GCH7.8.8.2018,2018,8,220,18220,27
8/8/2018,GCL1,N,8/8/2018,GCL1,GCL1.8.8.2018,2018,8,220,18220,27
8/8/2018,HL3,N,8/8/2018,HL3,HL3.8.8.2018,2018,8,220,18220,27
8/8/2018,HL4,Y,NA,HL4,,,,,,
8/15/2018,GCL3,N,8/15/2018,GCL3,GCL3.8.15.2018,2018,8,227,18227,34
8/15/2018,GCL4,N,8/15/2018,GCL4,GCL4.8.15.2018,2018,8,227,18227,34
8/15/2018,HL4,Y,NA,HL4,,,,,,
9/6/2018,GCH5,Y,NA,GCH5,,,,,,
9/6/2018,GCH6,N,9/6/2018,GCH6,GCH6.9.6.2018,2018,9,249,18249,56
9/6/2018,GCL1,N,9/6/2018,GCL1,GCL1.9.6.2018,2018,9,249,18249,56
9/6/2018,GCL3,N,9/6/2018,GCL3,GCL3.9.6.2018,2018,9,249,18249,56
9/6/2018,HL4,N,9/6/2018,HL4,HL4.9.6.2018,2018,9,249,18249,56
2018 September,HL4,N,9/6/2018,HL4,HL4.9.6.2018,2018,9,249,18249,56
2018 September,GCH6,Y,NA,GCH6,,,,,,
2018 September,GCH7,N,9/16/2018,GCH7,GCH7.9.16.2018,2018,9,259,18259,66
9/16/2018,GCH7,N,9/16/2018,GCH7,GCH7.9.16.2018,2018,9,259,18259,66
9/16/2018,GCL3,N,9/16/2018,GCL3,GCL3.9.16.2018,2018,9,259,18259,66
9/16/2018,HL4,N,9/16/2018,HL4,HL4.9.16.2018,2018,9,259,18259,66
9/18/2018,GCL3,N,9/16/2018,GCL3,GCL3.9.16.2018,2018,9,259,18259,66
9/18/2018,GCL4,N,9/16/2018,GCL4,GCL4.9.16.2018,2018,9,259,18259,66
10/3/2018,GCH6,N,10/3/2018,GCH6,GCH6.10.3.2018,2018,10,276,18276,83
10/3/2018,GCH7,N,10/3/2018,GCH7,GCH7.10.3.2018,2018,10,276,18276,83
10/3/2018,GCL1,N,10/3/2018,GCL1,GCL1.10.3.2018,2018,10,276,18276,83
10/17/2018,GCL3,N,10/17/2018,GCL3,GCL3.10.17.2018,2018,10,290,18290,97
10/17/2018,GCL4,N,10/17/2018,GCL4,GCL4.10.17.2018,2018,10,290,18290,97
10/17/2018,HL2,N,10/17/2018,HL2,HL2.10.17.2018,2018,10,290,18290,97
10/17/2018,HL4,N,10/17/2018,HL4,HL4.10.17.2018,2018,10,290,18290,97
10/22/2018,GCH6,N,10/22/2018,GCH6,GCH6.10.22.2018,2018,10,295,18295,102
10/22/2018,GCH7,N,10/22/2018,GCH7,GCH7.10.22.2018,2018,10,295,18295,102
10/22/2018,GCL1,N,10/22/2018,GCL1,GCL1.10.22.2018,2018,10,295,18295,102
10/22/2018,GCL4,N,10/22/2018,GCL4,GCL4.10.22.2018,2018,10,295,18295,102
10/22/2018,HL3,N,10/22/2018,HL3,HL3.10.22.2018,2018,10,295,18295,102
10/23/2018,GCL3,N,10/22/2018,GCL3,GCL3.10.22.2018,2018,10,295,18295,102
10/23/2018,GCL4,N,10/22/2018,GCL4,GCL4.10.22.2018,2018,10,295,18295,102
10/23/2018,HL3,N,10/22/2018,HL3,HL3.10.22.2018,2018,10,295,18295,102
5/16/2019,GCH5,N,5/16/2019,GCH5,GCH5.5.16.2019,2019,5,135,19135,107
5/16/2019,GCL3,N,5/16/2019,GCL3,GCL3.5.16.2019,2019,5,135,19135,107
5/16/2019,HL2,N,5/16/2019,HL2,HL2.5.16.2019,2019,5,135,19135,107
5/28/2019,GCH6,N,5/18/2019,GCH6,GCH6.5.18.2019,2019,5,138,19138,110
5/28/2019,HL2,N,5/28/2019,HL2,HL2.5.28.2019,2019,5,148,19148,120
5/29/2019,GCH5,N,5/28/2019,GCH5,GCH5.5.28.2019,2019,5,148,19148,120
5/29/2019,GCL3,N,5/28/2019,GCL3,GCL3.5.28.2019,2019,5,148,19148,120
5/29/2019,HL2,N,5/28/2019,HL2,HL2.5.28.2019,2019,5,148,19148,120
6/11/2019,GCH5,N,6/11/2019,GCH5,GCH5.6.11.2019,2019,6,162,19162,134
6/11/2019,GCH6,N,6/11/2019,GCH6,GCH6.6.11.2019,2019,6,162,19162,134
6/11/2019,GCL3,N,6/11/2019,GCL3,GCL3.6.11.2019,2019,6,162,19162,134
6/13/2019,GCH5,N,6/11/2019,GCH5,GCH5.6.11.2019,2019,6,162,19162,134
6/13/2019,GCH7,Y,NA,GCH7,,,,,,
6/13/2019,GCL3,N,6/11/2019,GCL3,GCL3.6.11.2019,2019,6,162,19162,134
6/13/2019,HL2,N,6/11/2019,HL2,HL2.6.11.2019,2019,6,162,19162,134
6/13/2019,HL3,N,6/11/2019,HL3,HL3.6.11.2019,2019,6,162,19162,134
6/25/2019,GCH5,N,6/25/2019,GCH5,GCH5.6.25.2019,2019,6,176,19176,148
6/25/2019,GCH6,N,6/25/2019,GCH6,GCH6.6.25.2019,2019,6,176,19176,148
6/25/2019,GCL3,N,6/25/2019,GCL3,GCL3.6.25.2019,2019,6,176,19176,148
6/25/2019,HL2,N,6/25/2019,HL2,HL2.6.25.2019,2019,6,176,19176,148
