Date,Site,Trap.no,Color,Order,Family,Abundance,Include.in.analyses,Needs.ID,sample.type,ID
10/6/2020,GCH5,NA,blue,Diptera,Calliphoridae,1,Y,N,vial,97
10/13/2020,GCH5,NA,blue,Diptera,Calliphoridae,1,Y,N,vial,100
9/11/2019,GCH5,15,blue,Diptera,Dolichopodidae,1,Y,N,vial,57
10/6/2020,GCH5,NA,blue,Diptera,Dolichopodidae,1,Y,N,vial,97
9/14/2020,GCH5,NA,blue,Diptera,Dolichopodidae,1,Y,N,vial,94
7/20/2020,GCH5,NA,blue,Diptera,Dolichopodidae,1,Y,N,vial,84
8/5/2020,GCH5,NA,blue,Hymenoptera,Formicidae,1,Y,N,vial,87
9/11/2019,GCH5,12,blue,Diptera,Sarcophagidae,1,Y,N,vial,56
10/9/2019,GCH5,15,blue,Diptera,Sarcophagidae,1,Y,N,vial,72
9/11/2019,GCH5,15,blue,Diptera,Sarcophagidae,1,Y,N,vial,57
6/13/2019,GCH5,9,blue,Diptera,Sarcophagidae,1,Y,N,vial,12
6/26/2019,GCH5,3,blue,Diptera,Sarcophagidae,1,Y,N,vial,18
7/10/2019,GCH5,12,blue,Diptera,Sarcophagidae,1,Y,N,vial,27
8/28/2019,GCH5,6,blue,Diptera,Syrphidae,1,Y,N,vial,49
10/6/2020,GCH5,NA,blue,Diptera,Syrphidae,1,Y,N,vial,97
10/13/2020,GCH5,NA,blue,Diptera,Syrphidae,1,Y,N,vial,100
5/29/2019,GCH5,3,blue,Diptera,Syrphidae,1,Y,N,vial,5
6/13/2019,GCH5,12,blue,Diptera,Syrphidae,1,Y,N,vial,13
9/25/2019,GCH5,6,blue,Diptera,Dolichopodidae,2,Y,N,vial,63
10/9/2019,GCH5,12,blue,Diptera,Syrphidae,2,Y,N,vial,71
10/13/2020,GCH5,NA,blue,Diptera,Sarcophagidae,3,Y,N,vial,100
9/14/2020,GCH5,NA,blue,Diptera,Sarcophagidae,3,Y,N,vial,94
6/13/2019,GCH5,12,blue,Diptera,Sarcophagidae,4,Y,N,vial,13
7/30/2019,GCH5,11,blue,Diptera,Sarcophagidae,4,Y,N,vial,36
7/30/2019,GCH5,15,blue,Diptera,Sarcophagidae,4,Y,N,vial,37
10/6/2020,GCH5,NA,blue,Diptera,Sarcophagidae,5,Y,N,vial,97
7/20/2020,GCH5,NA,blue,Diptera,Sarcophagidae,6,Y,N,vial,84
8/5/2020,GCH5,NA,blue,Diptera,Sarcophagidae,7,Y,N,vial,87
7/29/2019,GCH5,12,blue,Lepidoptera,Hesperiidae,1,Y,N,pinned,96
8/13/2019,GCH5,12,blue,Lepidoptera,Hesperiidae,1,Y,N,pinned,152
8/13/2019,GCH5,6,blue,Lepidoptera,Hesperiidae,1,Y,N,pinned,162
8/13/2019,GCH5,3,blue,Lepidoptera,Hesperiidae,1,Y,N,pinned,164
8/13/2019,GCH5,3,blue,Lepidoptera,Hesperiidae,1,Y,N,pinned,169
8/28/2019,GCH5,3,blue,Lepidoptera,Hesperiidae,1,Y,N,pinned,265
8/28/2019,GCH5,9,blue,Lepidoptera,Hesperiidae,1,Y,N,pinned,269
8/28/2019,GCH5,12,blue,Lepidoptera,Hesperiidae,1,Y,N,pinned,272
9/25/2019,GCH5,15,blue,Lepidoptera,Hesperiidae,1,Y,N,pinned,300
9/25/2019,GCH5,9,blue,Lepidoptera,Hesperiidae,1,Y,N,pinned,311
9/25/2019,GCH5,6,blue,Lepidoptera,Hesperiidae,1,Y,N,pinned,312
9/25/2019,GCH5,15,blue,Lepidoptera,Hesperiidae,1,Y,N,pinned,314
9/25/2019,GCH5,15,blue,Lepidoptera,Hesperiidae,1,Y,N,pinned,316
9/25/2019,GCH5,3,blue,Lepidoptera,Hesperiidae,1,Y,N,pinned,323
9/25/2019,GCH5,6,blue,Lepidoptera,Hesperiidae,1,Y,N,pinned,331
9/25/2019,GCH5,15,blue,Lepidoptera,Hesperiidae,1,Y,N,pinned,334
9/25/2019,GCH5,9,blue,Lepidoptera,Hesperiidae,1,Y,N,pinned,335
9/25/2019,GCH5,12,blue,Lepidoptera,Hesperiidae,1,Y,N,pinned,342
10/9/2019,GCH5,3,blue,Diptera,Syrphidae,1,Y,N,pinned,367
10/9/2019,GCH5,3,blue,Diptera,Syrphidae,1,Y,N,pinned,368
10/9/2019,GCH5,3,blue,Diptera,Syrphidae,1,Y,N,pinned,369
6/11/2019,GCH5,6,blue,Lepidoptera,Nymphalidae,1,Y,N,pinned,371
